epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2343.37,0.47019,0.92814,0.36328,1.19417,0.97862,0.95238,0.98646,0.83701,0.9884,0.9619,0.99006,0.86113,0.65943,0.52315,0.33911,1.58067,0.000251312,0.000251312,0.000251312
105,2365.96,0.49654,0.92694,0.3761,1.20951,0.95219,0.9619,0.98011,0.83796,0.96167,0.97143,0.98065,0.85169,0.65992,0.50536,0.32576,1.58571,0.000247587,0.000247587,0.000247587
106,2388.34,0.49908,0.95553,0.38902,1.19567,0.96723,0.94286,0.97117,0.84126,0.95311,0.97143,0.97218,0.85711,0.64152,0.50548,0.32876,1.56133,0.000243866,0.000243866,0.000243866
107,2410.77,0.48536,0.95942,0.39414,1.18355,0.97512,0.94286,0.97452,0.82404,0.96115,0.98095,0.98229,0.84076,0.65297,0.52854,0.33532,1.54876,0.000240149,0.000240149,0.000240149
108,2433.19,0.47934,0.91609,0.37981,1.17515,0.96259,0.98028,0.97981,0.82599,0.99029,0.97118,0.98784,0.85812,0.6673,0.55004,0.32901,1.56792,0.000236438,0.000236438,0.000236438
109,2455.48,0.47474,0.89853,0.36287,1.18825,0.96912,0.9619,0.97121,0.84318,0.97878,0.97143,0.97958,0.86082,0.62158,0.54056,0.30055,1.54008,0.000232733,0.000232733,0.000232733
110,2477.9,0.48947,0.99779,0.36949,1.19754,0.97962,0.97143,0.98735,0.84008,0.97962,0.97143,0.98735,0.87314,0.64055,0.50895,0.32205,1.56689,0.000229036,0.000229036,0.000229036
111,2500.39,0.47089,0.93629,0.373,1.17059,0.98555,0.98095,0.99453,0.85359,0.98555,0.98095,0.99453,0.86505,0.62038,0.44048,0.31687,1.5274,0.000225347,0.000225347,0.000225347
112,2523.09,0.50218,0.95819,0.39075,1.20517,0.9818,0.97143,0.99395,0.83688,0.99142,0.98095,0.9949,0.85924,0.62178,0.49775,0.30478,1.53293,0.000221667,0.000221667,0.000221667
113,2545.32,0.49222,0.90415,0.3864,1.19837,0.95257,0.98095,0.98534,0.8391,0.98889,0.98095,0.99337,0.86334,0.6505,0.51717,0.30603,1.56535,0.000217997,0.000217997,0.000217997
114,2567.67,0.47157,0.93412,0.36161,1.1777,0.9883,0.98095,0.99223,0.85142,0.9883,0.98095,0.99223,0.8749,0.65336,0.52473,0.31429,1.55473,0.000214338,0.000214338,0.000214338
115,2590.24,0.49016,0.92605,0.37343,1.19233,0.97036,0.98095,0.97925,0.85307,0.97828,0.97143,0.97269,0.86437,0.61735,0.47831,0.2899,1.50733,0.000210691,0.000210691,0.000210691
116,2612.66,0.49226,0.91134,0.37589,1.18876,0.98819,0.9619,0.97442,0.81922,0.99038,0.98067,0.98195,0.85352,0.66427,0.48907,0.31308,1.5611,0.000207057,0.000207057,0.000207057
117,2635.04,0.46681,0.88196,0.35441,1.16829,0.98111,0.98949,0.9896,0.83551,0.98973,0.99048,0.99052,0.84546,0.6459,0.49191,0.31186,1.58271,0.000203436,0.000203436,0.000203436
118,2657.47,0.45483,0.83606,0.34662,1.15478,0.97798,0.97143,0.98729,0.82858,0.97141,0.99048,0.99039,0.85279,0.67631,0.4641,0.30727,1.59015,0.00019983,0.00019983,0.00019983
119,2679.74,0.44447,0.83186,0.34349,1.15442,0.98583,0.97143,0.97633,0.84273,0.99036,0.97833,0.98312,0.86152,0.63963,0.45908,0.31353,1.57422,0.00019624,0.00019624,0.00019624
120,2702.04,0.45143,0.87198,0.34472,1.15759,0.97129,0.9667,0.97378,0.83726,0.98086,0.97623,0.98188,0.85375,0.65839,0.46986,0.31191,1.64014,0.000192665,0.000192665,0.000192665
121,2724.37,0.45575,0.91074,0.35412,1.17672,0.97904,0.98095,0.98117,0.82241,0.97904,0.98095,0.98117,0.84447,0.68047,0.49845,0.31481,1.651,0.000189108,0.000189108,0.000189108
122,2746.93,0.44788,0.84603,0.33115,1.15914,0.96959,0.97143,0.97341,0.83017,0.9791,0.98095,0.98195,0.84517,0.6362,0.52471,0.3043,1.55923,0.00018557,0.00018557,0.00018557
123,2769.35,0.4534,0.86889,0.35793,1.15882,0.97133,0.98095,0.97971,0.81323,0.98077,0.99048,0.98856,0.85284,0.66328,0.47154,0.31166,1.55345,0.00018205,0.00018205,0.00018205
124,2791.76,0.46576,0.8767,0.36366,1.182,0.96779,0.9619,0.9772,0.84762,0.97746,0.97143,0.98387,0.86532,0.62233,0.45082,0.29734,1.55285,0.00017855,0.00017855,0.00017855
125,2814.13,0.44196,0.84748,0.34823,1.16467,0.97907,0.9619,0.97789,0.85246,0.98883,0.97143,0.98461,0.86667,0.65428,0.47476,0.28781,1.61844,0.00017507,0.00017507,0.00017507
